reserve_dependency,forestry_intensity,replicate,step
0.16666666666666666,0.2,0,0
0.2,0.2,0,1
0.23333333333333334,0.2,0,2
0.3333333333333333,0.2,0,3
0.4,0.2,0,4
0.43333333333333335,0.2,0,5
0.4666666666666667,0.2,0,6
0.4666666666666667,0.2,0,7
0.5333333333333333,0.2,0,8
0.5666666666666667,0.2,0,9
0.6,0.2,0,10
0.6666666666666666,0.2,0,11
0.7,0.2,0,12
0.7,0.2,0,13
0.7,0.2,0,14
0.7333333333333333,0.2,0,15
0.7333333333333333,0.2,0,16
0.7333333333333333,0.2,0,17
0.7333333333333333,0.2,0,18
0.7333333333333333,0.2,0,19
0.7333333333333333,0.2,0,20
0.7333333333333333,0.2,0,21
0.7333333333333333,0.2,0,22
0.7333333333333333,0.2,0,23
0.7333333333333333,0.2,0,24
0.7333333333333333,0.2,0,25
0.7333333333333333,0.2,0,26
0.7666666666666667,0.2,0,27
0.7666666666666667,0.2,0,28
0.7666666666666667,0.2,0,29
0.7666666666666667,0.2,0,30
0.7666666666666667,0.2,0,31
0.7666666666666667,0.2,0,32
0.7666666666666667,0.2,0,33
0.7666666666666667,0.2,0,34
0.7666666666666667,0.2,0,35
0.7666666666666667,0.2,0,36
0.7666666666666667,0.2,0,37
0.7666666666666667,0.2,0,38
0.7666666666666667,0.2,0,39
0.7666666666666667,0.2,0,40
0.7666666666666667,0.2,0,41
0.7666666666666667,0.2,0,42
0.8,0.2,0,43
0.8,0.2,0,44
0.8,0.2,0,45
0.8,0.2,0,46
0.8,0.2,0,47
0.8,0.2,0,48
0.8,0.2,0,49
0.8,0.2,0,50
0.8,0.2,0,51
0.8,0.2,0,52
0.8,0.2,0,53
0.8,0.2,0,54
0.8,0.2,0,55
0.8,0.2,0,56
0.8,0.2,0,57
0.8,0.2,0,58
0.8,0.2,0,59
0.8,0.2,0,60
0.8,0.2,0,61
0.8,0.2,0,62
0.8,0.2,0,63
0.8,0.2,0,64
0.8,0.2,0,65
0.8,0.2,0,66
0.8,0.2,0,67
0.8,0.2,0,68
0.8,0.2,0,69
0.8,0.2,0,70
0.8,0.2,0,71
0.8,0.2,0,72
0.8,0.2,0,73
0.8,0.2,0,74
0.8,0.2,0,75
0.8,0.2,0,76
0.8,0.2,0,77
0.8,0.2,0,78
0.8,0.2,0,79
0.8,0.2,0,80
0.8,0.2,0,81
0.8,0.2,0,82
0.8,0.2,0,83
0.8,0.2,0,84
0.8,0.2,0,85
0.8,0.2,0,86
0.8,0.2,0,87
0.8,0.2,0,88
0.8,0.2,0,89
0.8,0.2,0,90
0.8,0.2,0,91
0.8,0.2,0,92
0.8,0.2,0,93
0.8,0.2,0,94
0.8,0.2,0,95
0.8,0.2,0,96
0.8,0.2,0,97
0.8,0.2,0,98
0.8,0.2,0,99
0.8,0.2,0,100
0.8,0.2,0,101
0.8,0.2,0,102
0.8,0.2,0,103
0.8,0.2,0,104
0.8,0.2,0,105
0.8,0.2,0,106
0.8,0.2,0,107
0.8,0.2,0,108
0.8,0.2,0,109
0.8,0.2,0,110
0.8,0.2,0,111
0.8,0.2,0,112
0.8,0.2,0,113
0.8,0.2,0,114
0.8,0.2,0,115
0.8,0.2,0,116
0.8,0.2,0,117
0.8,0.2,0,118
0.8,0.2,0,119
0.8,0.2,0,120
0.8,0.2,0,121
0.8,0.2,0,122
0.8,0.2,0,123
0.8,0.2,0,124
0.8,0.2,0,125
0.8,0.2,0,126
0.8,0.2,0,127
0.8,0.2,0,128
0.8,0.2,0,129
0.8,0.2,0,130
0.8,0.2,0,131
0.8,0.2,0,132
0.8,0.2,0,133
0.8,0.2,0,134
0.8,0.2,0,135
0.8,0.2,0,136
0.8,0.2,0,137
0.8,0.2,0,138
0.8,0.2,0,139
0.8,0.2,0,140
0.8,0.2,0,141
0.8,0.2,0,142
0.8,0.2,0,143
0.8,0.2,0,144
0.8,0.2,0,145
0.8,0.2,0,146
0.8,0.2,0,147
0.8,0.2,0,148
0.8,0.2,0,149
0.3333333333333333,0.2,1,0
0.3333333333333333,0.2,1,1
0.3333333333333333,0.2,1,2
0.36666666666666664,0.2,1,3
0.4666666666666667,0.2,1,4
0.5,0.2,1,5
0.5666666666666667,0.2,1,6
0.6,0.2,1,7
0.7,0.2,1,8
0.7666666666666667,0.2,1,9
0.8333333333333334,0.2,1,10
0.8666666666666667,0.2,1,11
0.9,0.2,1,12
0.9,0.2,1,13
0.9333333333333333,0.2,1,14
0.9333333333333333,0.2,1,15
0.9333333333333333,0.2,1,16
0.9333333333333333,0.2,1,17
0.9333333333333333,0.2,1,18
0.9333333333333333,0.2,1,19
0.9333333333333333,0.2,1,20
0.9333333333333333,0.2,1,21
0.9333333333333333,0.2,1,22
0.9333333333333333,0.2,1,23
0.9333333333333333,0.2,1,24
0.9333333333333333,0.2,1,25
0.9333333333333333,0.2,1,26
0.9333333333333333,0.2,1,27
0.9333333333333333,0.2,1,28
0.9333333333333333,0.2,1,29
0.9333333333333333,0.2,1,30
0.9333333333333333,0.2,1,31
0.9333333333333333,0.2,1,32
0.9333333333333333,0.2,1,33
0.9333333333333333,0.2,1,34
0.9333333333333333,0.2,1,35
0.9333333333333333,0.2,1,36
0.9333333333333333,0.2,1,37
0.9333333333333333,0.2,1,38
0.9333333333333333,0.2,1,39
0.9333333333333333,0.2,1,40
0.9333333333333333,0.2,1,41
0.9333333333333333,0.2,1,42
0.9333333333333333,0.2,1,43
0.9333333333333333,0.2,1,44
0.9333333333333333,0.2,1,45
0.9333333333333333,0.2,1,46
0.9333333333333333,0.2,1,47
0.9333333333333333,0.2,1,48
0.9333333333333333,0.2,1,49
0.9333333333333333,0.2,1,50
0.9333333333333333,0.2,1,51
0.9333333333333333,0.2,1,52
0.9333333333333333,0.2,1,53
0.9333333333333333,0.2,1,54
0.9333333333333333,0.2,1,55
0.9333333333333333,0.2,1,56
0.9333333333333333,0.2,1,57
0.9333333333333333,0.2,1,58
0.9333333333333333,0.2,1,59
0.9333333333333333,0.2,1,60
0.9333333333333333,0.2,1,61
0.9333333333333333,0.2,1,62
0.9333333333333333,0.2,1,63
0.9333333333333333,0.2,1,64
0.9333333333333333,0.2,1,65
0.9333333333333333,0.2,1,66
0.9333333333333333,0.2,1,67
0.9333333333333333,0.2,1,68
0.9333333333333333,0.2,1,69
0.9333333333333333,0.2,1,70
0.9333333333333333,0.2,1,71
0.9333333333333333,0.2,1,72
0.9333333333333333,0.2,1,73
0.9333333333333333,0.2,1,74
0.9333333333333333,0.2,1,75
0.9333333333333333,0.2,1,76
0.9333333333333333,0.2,1,77
0.9333333333333333,0.2,1,78
0.9333333333333333,0.2,1,79
0.9333333333333333,0.2,1,80
0.9333333333333333,0.2,1,81
0.9333333333333333,0.2,1,82
0.9333333333333333,0.2,1,83
0.9333333333333333,0.2,1,84
0.9333333333333333,0.2,1,85
0.9333333333333333,0.2,1,86
0.9333333333333333,0.2,1,87
0.9333333333333333,0.2,1,88
0.9333333333333333,0.2,1,89
0.9333333333333333,0.2,1,90
0.9333333333333333,0.2,1,91
0.9333333333333333,0.2,1,92
0.9333333333333333,0.2,1,93
0.9333333333333333,0.2,1,94
0.9333333333333333,0.2,1,95
0.9333333333333333,0.2,1,96
0.9333333333333333,0.2,1,97
0.9333333333333333,0.2,1,98
0.9333333333333333,0.2,1,99
0.9333333333333333,0.2,1,100
0.9333333333333333,0.2,1,101
0.9333333333333333,0.2,1,102
